Caller id,Caller company,Receiver id,Receiver company,Timestamp,Duration s.
43477,Kompanija2,92343,Kompanija1,2020-12-04 04:18,0
94309,Kompanija1,101644,Kompanija1,2020-12-04 04:35,30
30183,Kompanija3,81877,Kompanija1,2020-12-04 07:06,155
76725,Kompanija1,33498,Kompanija3,2020-12-04 07:08,1031
52731,Kompanija2,74869,Kompanija1,2020-12-04 07:23,2
67484,Kompanija1,52707,Kompanija1,2020-12-04 07:26,122
84258,Kompanija1,73054,Kompanija1,2020-12-04 07:39,306
66133,Kompanija1,63445,Kompanija2,2020-12-04 07:46,592
39908,Kompanija2,55451,Kompanija1,2020-12-04 07:50,30
97083,Kompanija1,66691,Kompanija1,2020-12-04 08:05,338
52048,Kompanija2,67484,Kompanija1,2020-12-04 08:07,1735
51614,Kompanija2,89297,Kompanija1,2020-12-04 08:09,2
71343,Kompanija1,60299,Kompanija1,2020-12-04 08:14,541
69002,Kompanija1,52956,Kompanija2,2020-12-04 08:21,448
31571,Kompanija3,39946,Kompanija2,2020-12-04 08:22,3
62364,Kompanija1,38285,Kompanija3,2020-12-04 08:24,248
56266,Kompanija1,52745,Kompanija1,2020-12-04 08:31,0
64200,Kompanija1,42507,Kompanija3,2020-12-04 08:45,677
73172,Kompanija1,80994,Kompanija1,2020-12-04 08:47,466
49509,Kompanija2,39598,Kompanija2,2020-12-04 09:09,0
45651,Kompanija1,57901,Kompanija1,2020-12-04 09:11,35
51244,Kompanija1,70783,Kompanija1,2020-12-04 09:15,448
42943,Kompanija2,47162,Kompanija2,2020-12-04 09:41,424
66691,Kompanija1,77506,Kompanija1,2020-12-04 10:07,448
28766,Kompanija3,51444,Kompanija3,2020-12-04 10:09,306
43201,Kompanija3,49546,Kompanija1,2020-12-04 10:15,159
87049,Kompanija1,465902,974752,2020-12-04 10:19,43
60807,Kompanija1,68491,Kompanija1,2020-12-04 10:23,1592
94309,Kompanija1,49423,Kompanija1,2020-12-04 10:26,346
79836,Kompanija1,50880,Kompanija1,2020-12-04 10:31,38
83253,Kompanija1,453200,822960,2020-12-04 10:48,43
71174,Kompanija1,29285,Kompanija3,2020-12-04 11:02,0
57776,Kompanija1,60853,Kompanija1,2020-12-04 11:03,35
69002,Kompanija1,87109,Kompanija1,2020-12-04 11:09,0
62701,Kompanija1,63501,Kompanija2,2020-12-04 11:12,30
42943,Kompanija2,80004,Kompanija1,2020-12-04 11:13,0
49546,Kompanija1,72469,Kompanija1,2020-12-04 11:13,0
51411,Kompanija2,100400,Kompanija1,2020-12-04 11:15,0
84258,Kompanija1,82162,Kompanija1,2020-12-04 11:17,0
